zone,population,placename,category,2010,2011,2012,2013,2014,2015,2016,2017,2018,total19,total20,total21,total22,total23,2024,2025,2026,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
01,4900,Murchison Road,Motor Vehicle Theft,36,27,28,32,27,13,14,13,15,12,24,15,15,21,18,43,1,42,54,18,25,250,180,133,244.9,489.8,306.1,306.1,857.1,367.3
02,9000,"Hillendale, Rivercliff and Country Club North",Motor Vehicle Theft,25,19,18,18,15,10,11,6,11,18,24,21,12,32,27,41,1,41,57,19,-33.3,127.8,241.7,116,200,266.7,233.3,133.3,455.6,211.1
03,5700,North Street Park and Winter Terrace Park,Motor Vehicle Theft,32,43,27,24,22,16,16,9,13,12,30,21,24,30,31,26,1,25,75,25,100,108.3,4.2,0,210.5,526.3,368.4,421.1,438.6,438.6
04,3600,East Fayetteville,Motor Vehicle Theft,51,36,43,37,25,19,13,21,19,21,24,18,33,26,32,33,1,31,75,25,57.1,47.6,-6.1,24,583.3,666.7,500,916.7,861.1,694.4
05,3700,Southwest of Downtown,Motor Vehicle Theft,37,33,28,24,21,31,33,27,25,16,33,30,33,51,42,43,3,42,96,32,106.2,162.5,27.3,31,432.4,891.9,810.8,891.9,1135.1,864.9
06,8200,Bordeaux and Holiday Park,Motor Vehicle Theft,44,48,58,36,41,35,28,27,29,20,33,32,33,50,36,53,3,53,98,32.7,65,165,60.6,62,243.9,402.4,390.2,402.4,646.3,398.8
07,3600,Haymount,Motor Vehicle Theft,11,15,8,10,10,5,6,4,2,6,5,9,8,12,7,13,1,14,22,7.3,33.3,133.3,75,92,166.7,138.9,250,222.2,388.9,202.8
08,5900,Edenroc and Greenwood Homes,Motor Vehicle Theft,28,40,48,28,23,24,15,13,18,17,31,26,14,41,16,17,0,15,71,23.7,-17.6,-11.8,7.1,-37,288.1,525.4,440.7,237.3,254.2,401.7
09,5200,Green Valley Estates and Kornbow,Motor Vehicle Theft,28,23,32,29,20,26,17,7,12,20,14,20,15,19,30,36,2,34,49,16.3,-25,70,126.7,109,384.6,269.2,384.6,288.5,653.8,313.5
10,3800,Kirkwood,Motor Vehicle Theft,29,20,41,43,40,24,9,14,12,9,12,23,32,16,15,17,1,16,67,22.3,255.6,77.8,-50,-28,236.8,315.8,605.3,842.1,421.1,586.8
11,1100,Downtown Fayetteville,Motor Vehicle Theft,15,21,19,18,21,28,16,12,15,15,18,8,12,24,25,16,0,13,38,12.7,-20,-13.3,8.3,2,1363.6,1636.4,727.3,1090.9,1181.8,1154.5
12,15300,Wooded Lake and Jordan Soccer Complex,Motor Vehicle Theft,51,47,38,50,42,22,14,18,17,34,127,32,34,46,65,86,3,86,193,64.3,0,152.9,152.9,34,222.2,830.1,209.2,222.2,562.1,420.3
13,6900,Montclair,Motor Vehicle Theft,47,36,55,48,49,27,27,42,18,27,22,32,38,35,59,78,5,76,92,30.7,40.7,181.5,100,148,391.3,318.8,463.8,550.7,1101.4,444.9
14,6900,North Reilly Road,Motor Vehicle Theft,34,22,42,33,31,17,18,35,24,30,28,26,24,31,31,46,0,46,78,26,-20,53.3,91.7,77,434.8,405.8,376.8,347.8,666.7,376.8
15,11100,Beaver Creek and Cottonade,Motor Vehicle Theft,40,50,56,31,49,30,31,36,50,30,41,34,39,58,47,79,0,75,114,38,30,150,92.3,97,270.3,369.4,306.3,351.4,675.7,342.3
16,10700,Loch Lommond and Beaver Creek Pond,Motor Vehicle Theft,55,35,33,33,52,24,32,35,16,23,37,28,25,51,34,51,11,58,90,30,8.7,152.2,132,93,215,345.8,261.7,233.6,542.1,280.4
17,7000,Hollywood Heights,Motor Vehicle Theft,61,56,49,50,37,35,31,26,29,16,25,25,28,34,56,59,3,60,78,26,75,275,114.3,131,228.6,357.1,357.1,400,857.1,371.4
18,2200,Southwest Raleigh,Motor Vehicle Theft,38,32,38,34,23,28,14,13,9,11,15,15,23,14,14,26,1,24,53,17.7,109.1,118.2,4.3,36,500,681.8,681.8,1045.5,1090.9,804.5
