zone,population,placename,category,2010,2011,2012,2013,2014,2015,2016,2017,2018,total19,total20,total21,total22,total23,2024,2025,2026,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
01,4900,Murchison Road,Aggravated Assault,41,40,26,25,23,25,39,48,62,53,70,61,79,65,36,74,11,55,210,70,49.1,3.8,-30.4,-21,1081.6,1428.6,1244.9,1612.2,1122.4,1428.6
01,4900,Murchison Road,Burglary,147,189,162,81,101,102,49,48,61,41,52,39,41,44,36,34,15,38,132,44,0,-7.3,-7.3,-14,836.7,1061.2,795.9,836.7,775.5,898
01,4900,Murchison Road,Motor Vehicle Theft,36,27,28,32,27,13,14,13,15,12,24,15,15,21,18,35,4,22,54,18,25,83.3,46.7,22,244.9,489.8,306.1,306.1,449,367.3
01,4900,Murchison Road,Murder,1,1,0,1,1,1,0,0,1,0,1,3,4,6,2,5,0,4,8,2.7,NA,NA,0,48,0,20.4,61.2,81.6,81.6,55.1
01,4900,Murchison Road,Other/Unknown,244,336,289,289,248,295,200,248,244,223,283,249,257,217,199,289,90,275,789,263,15.2,23.3,7,5,4551,5775.5,5081.6,5244.9,5612.2,5367.3
01,4900,Murchison Road,Robbery,23,34,26,27,17,9,10,17,10,9,17,9,10,6,17,8,0,5,36,12,11.1,-44.4,-50,-58,183.7,346.9,183.7,204.1,102,244.9
01,4900,Murchison Road,Theft,142,161,142,135,126,127,117,116,97,118,171,100,103,94,76,124,40,122,374,124.7,-12.7,3.4,18.4,-2,2408.2,3489.8,2040.8,2102,2489.8,2544.9
02,9000,"Hillendale, Rivercliff and Country Club North",Aggravated Assault,11,19,14,9,11,17,14,27,15,26,40,29,20,17,16,48,8,32,89,29.7,-23.1,23.1,60,8,288.9,444.4,322.2,222.2,355.6,330
02,9000,"Hillendale, Rivercliff and Country Club North",Burglary,140,146,139,117,78,67,61,48,48,62,54,23,29,32,25,42,19,40,106,35.3,-53.2,-35.5,37.9,13,688.9,600,255.6,322.2,444.4,392.2
02,9000,"Hillendale, Rivercliff and Country Club North",Motor Vehicle Theft,25,19,18,18,15,10,11,6,11,18,24,21,12,32,27,36,8,20,57,19,-33.3,11.1,66.7,5,200,266.7,233.3,133.3,222.2,211.1
02,9000,"Hillendale, Rivercliff and Country Club North",Murder,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0.3,NA,NA,NA,-100,0,0,11.1,0,0,3.3
